Log-ratio,p-value,minFDR,Nitab v4.5 Gene,Gene,Measure,Description
2.143332481,7.1759E-06,0.000223214,Nitab4.5_0000096g0230,Nitab4.5_0000096g0230,Nitab4.5_0000096g0230,Unknown
2.142033339,0.005243241,0.02074345,Nitab4.5_0002312g0100,Nitab4.5_0002312g0100,Nitab4.5_0002312g0100,Unknown
2.133156538,0.000157184,0.001513015,Nitab4.5_0002692g0050,Nitab4.5_0002692g0050,Nitab4.5_0002692g0050,Unknown
2.13287735,1.45932E-07,3.38782E-05,Nitab4.5_0003281g0090,Nitab4.5_0003281g0090,Nitab4.5_0003281g0090,Cold acclimation WCOR413
2.132774115,2.00053E-07,3.76037E-05,Nitab4.5_0001856g0050,Nitab4.5_0001856g0050,Nitab4.5_0001856g0050,Calcium/calmodulin-dependent/calcium-dependent protein kinase
2.123060189,0.000289787,0.002315451,Nitab4.5_0000468g0200,Nitab4.5_0000468g0200,Nitab4.5_0000468g0200,Unknown
2.122252464,0.001238306,0.006768757,Nitab4.5_0002650g0040,Nitab4.5_0002650g0040,Nitab4.5_0002650g0040,Unknown
2.122068495,0.023152315,0.069168733,Nitab4.5_0000698g0030,Nitab4.5_0000698g0030,Nitab4.5_0000698g0030,Unknown
2.109438896,1.69845E-06,9.97142E-05,Nitab4.5_0003264g0010,Nitab4.5_0003264g0010,Nitab4.5_0003264g0010,Alpha crystallin/Hsp20 domain
2.102204323,9.90483E-08,2.93672E-05,Nitab4.5_0000116g0360,Nitab4.5_0000116g0360,Nitab4.5_0000116g0360,Sucrose synthase
2.100652933,4.31668E-07,5.04242E-05,Nitab4.5_0000351g0090,Nitab4.5_0000351g0090,Nitab4.5_0000351g0090,Mitochondrial substrate/solute carrier
2.099553466,0.000374557,0.002788494,Nitab4.5_0000286g0040,Nitab4.5_0000286g0040,Nitab4.5_0000286g0040,Alpha crystallin/Hsp20 domain
2.097329855,0.001903046,0.009385489,Nitab4.5_0000797g0130,Nitab4.5_0000797g0130,Nitab4.5_0000797g0130,Small hydrophilic plant seed protein
2.09351182,1.50818E-05,0.000338742,Nitab4.5_0001794g0080,Nitab4.5_0001794g0080,Nitab4.5_0001794g0080,BURP domain
2.089557886,3.00524E-05,0.000507327,Nitab4.5_0004977g0010,Nitab4.5_0004977g0010,Nitab4.5_0004977g0010,DNA-binding WRKY
2.089330673,1.85143E-06,0.000105217,Nitab4.5_0000915g0070,Nitab4.5_0000915g0070,Nitab4.5_0000915g0070,Late embryogenesis abundant protein
2.08797574,5.77478E-08,2.35764E-05,Nitab4.5_0000797g0160,Nitab4.5_0000797g0160,Nitab4.5_0000797g0160,Isopenicillin N synthase-like
2.087482929,1.24388E-08,1.32291E-05,Nitab4.5_0000221g0050,Nitab4.5_0000221g0050,Nitab4.5_0000221g0050,Phosphoenolpyruvate carboxylase
2.085159898,1.78744E-05,0.000372583,Nitab4.5_0000263g0080,Nitab4.5_0000263g0080,Nitab4.5_0000263g0080,Amino acid transporter
2.082942724,1.95996E-06,0.000108267,Nitab4.5_0000231g0240,Nitab4.5_0000231g0240,Nitab4.5_0000231g0240,Ninja
2.075615287,0.000311625,0.002442323,Nitab4.5_0001266g0060,Nitab4.5_0001266g0060,Nitab4.5_0001266g0060,Annexin repeat
2.058157921,5.95584E-05,0.000785246,Nitab4.5_0000518g0070,Nitab4.5_0000518g0070,Nitab4.5_0000518g0070,Heavy metal-associated domain
2.057335377,2.73919E-06,0.000129898,Nitab4.5_0000159g0230,Nitab4.5_0000159g0230,Nitab4.5_0000159g0230,5'-3' exonuclease
2.056310177,1.62036E-06,9.82143E-05,Nitab4.5_0000767g0010,Nitab4.5_0000767g0010,Nitab4.5_0000767g0010,Phloem protein 2-like
2.056223392,3.28493E-07,4.5449E-05,Nitab4.5_0002280g0010,Nitab4.5_0002280g0010,Nitab4.5_0002280g0010,Sucrose synthase
2.056179285,1.09036E-05,0.000279428,Nitab4.5_0001578g0030,Nitab4.5_0001578g0030,Nitab4.5_0001578g0030,Lateral organ boundaries
2.048426628,5.45802E-07,5.83926E-05,Nitab4.5_0003441g0020,Nitab4.5_0003441g0020,Nitab4.5_0003441g0020,Thioredoxin-like fold
2.0335778,0.000216377,0.001885087,Nitab4.5_0003746g0020,Nitab4.5_0003746g0020,Nitab4.5_0003746g0020,Senescence regulator S40
2.029901981,6.9607E-05,0.000871167,Nitab4.5_0000037g0210,Nitab4.5_0000037g0210,Nitab4.5_0000037g0210,Cytochrome P450
2.027386665,0.000239111,0.002019258,Nitab4.5_0000786g0230,Nitab4.5_0000786g0230,Nitab4.5_0000786g0230,Phosphate-induced protein 1
2.027224153,1.13497E-06,8.20439E-05,Nitab4.5_0000462g0170,Nitab4.5_0000462g0170,Nitab4.5_0000462g0170,Leucine-rich repeat
2.023673475,3.99016E-05,0.000606966,Nitab4.5_0001423g0120,Nitab4.5_0001423g0120,Nitab4.5_0001423g0120,Histidine phosphatase superfamily
2.022639751,2.86074E-07,4.30553E-05,Nitab4.5_0001714g0060,Nitab4.5_0001714g0060,Nitab4.5_0001714g0060,Staygreen protein
2.01320982,2.72508E-07,4.25771E-05,Nitab4.5_0004398g0070,Nitab4.5_0004398g0070,Nitab4.5_0004398g0070,Alpha/beta hydrolase fold-1
2.011154085,1.9347E-05,0.000390193,Nitab4.5_0001000g0160,Nitab4.5_0001000g0160,Nitab4.5_0001000g0160,DNA-binding WRKY
2.008423984,0.009103228,0.032176094,Nitab4.5_0000041g0210,Nitab4.5_0000041g0210,Nitab4.5_0000041g0210,Unknown
2.003777504,2.10232E-05,0.000410219,Nitab4.5_0003242g0020,Nitab4.5_0003242g0020,Nitab4.5_0003242g0020,Unknown
2.002379543,0.001453113,0.007653193,Nitab4.5_0000166g0100,Nitab4.5_0000166g0100,Nitab4.5_0000166g0100,Major facilitator superfamily domain
1.999779463,0.001323702,0.007135615,Nitab4.5_0002728g0120,Nitab4.5_0002728g0120,Nitab4.5_0002728g0120,Yippee/Mis18
1.989531279,0.000305899,0.00241041,Nitab4.5_0002031g0160,Nitab4.5_0002031g0160,Nitab4.5_0002031g0160,Unknown
1.989416122,0.001916426,0.00943837,Nitab4.5_0000525g0290,Nitab4.5_0000525g0290,Nitab4.5_0000525g0290,Proteinase inhibitor I13
1.980673313,6.85406E-07,6.483E-05,Nitab4.5_0000110g0250,Nitab4.5_0000110g0250,Nitab4.5_0000110g0250,NAC domain
1.968167782,0.000142131,0.001406222,Nitab4.5_0000130g0040,Nitab4.5_0000130g0040,Nitab4.5_0000130g0040,SGNH hydrolase-type esterase domain
1.967540979,1.66683E-05,0.000357774,Nitab4.5_0001106g0010,Nitab4.5_0001106g0010,Nitab4.5_0001106g0010,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A
1.962192774,5.76149E-07,6.0189E-05,Nitab4.5_0001217g0020,Nitab4.5_0001217g0020,Nitab4.5_0001217g0020,Alpha/beta hydrolase fold-1
1.958021641,0.000695551,0.004395171,Nitab4.5_0002326g0100,Nitab4.5_0002326g0100,Nitab4.5_0002326g0100,Unknown
1.956277251,8.13513E-05,0.000957119,Nitab4.5_0000068g0020,Nitab4.5_0000068g0020,Nitab4.5_0000068g0020,Cytochrome P450
1.954761207,4.63999E-08,2.22477E-05,Nitab4.5_0001114g0030,Nitab4.5_0001114g0030,Nitab4.5_0001114g0030,Alanine dehydrogenase/PNT
1.953135014,2.6048E-08,1.77923E-05,Nitab4.5_0005052g0040,Nitab4.5_0005052g0040,Nitab4.5_0005052g0040,Annexin repeat
1.949837446,1.96555E-06,0.000108408,Nitab4.5_0000514g0160,Nitab4.5_0000514g0160,Nitab4.5_0000514g0160,Bicarbonate transporter
1.949613035,0.001798099,0.008985182,Nitab4.5_0004399g0030,Nitab4.5_0004399g0030,Nitab4.5_0004399g0030,Unknown
1.937292099,1.27713E-09,1.11816E-05,Nitab4.5_0000787g0170,Nitab4.5_0000787g0170,Nitab4.5_0000787g0170,YTH domain
1.934194088,0.000121639,0.001264039,Nitab4.5_0000444g0190,Nitab4.5_0000444g0190,Nitab4.5_0000444g0190,Ammonium transporter
1.932854414,6.45464E-06,0.00020842,Nitab4.5_0000082g0400,Nitab4.5_0000082g0400,Nitab4.5_0000082g0400,Triacylglycerol lipase
1.925771356,0.030992141,0.087910066,Nitab4.5_0001601g0070,Nitab4.5_0001601g0070,Nitab4.5_0001601g0070,Unknown
1.92489481,1.2026E-07,3.18773E-05,Nitab4.5_0000471g0030,Nitab4.5_0000471g0030,Nitab4.5_0000471g0030,Chlorophyll A-B binding protein
1.922908068,5.15195E-05,0.000716773,Nitab4.5_0000152g0200,Nitab4.5_0000152g0200,Nitab4.5_0000152g0200,BTB/POZ
1.91449213,9.34373E-05,0.001057336,Nitab4.5_0002093g0010,Nitab4.5_0002093g0010,Nitab4.5_0002093g0010,Unknown
1.913943976,0.000452294,0.00319384,Nitab4.5_0000496g0130,Nitab4.5_0000496g0130,Nitab4.5_0000496g0130,NAC domain
1.909671545,0.000797941,0.00486887,Nitab4.5_0003201g0010,Nitab4.5_0003201g0010,Nitab4.5_0003201g0010,Unknown
1.906028032,0.001522586,0.007908855,Nitab4.5_0000264g0170,Nitab4.5_0000264g0170,Nitab4.5_0000264g0170,GNAT domain
1.904981613,1.98164E-05,0.000394982,Nitab4.5_0000927g0060,Nitab4.5_0000927g0060,Nitab4.5_0000927g0060,Transcription factor
1.897432327,1.37801E-05,0.000320568,Nitab4.5_0000102g0010,Nitab4.5_0000102g0010,Nitab4.5_0000102g0010,Class II glutamine amidotransferase domain
1.893696189,0.000722177,0.004518409,Nitab4.5_0001701g0160,Nitab4.5_0001701g0160,Nitab4.5_0001701g0160,Unknown
1.891197681,0.01078178,0.036876075,Nitab4.5_0000194g0160,Nitab4.5_0000194g0160,Nitab4.5_0000194g0160,START-like domain
1.889535189,0.000436538,0.003108536,Nitab4.5_0000152g0420,Nitab4.5_0000152g0420,Nitab4.5_0000152g0420,Unknown
1.886618137,0.004978291,0.019914195,Nitab4.5_0000867g0070,Nitab4.5_0000867g0070,Nitab4.5_0000867g0070,Unknown
1.885983706,1.61963E-05,0.000350946,Nitab4.5_0000350g0030,Nitab4.5_0000350g0030,Nitab4.5_0000350g0030,Zinc finger
1.883800268,5.42783E-06,0.000186632,Nitab4.5_0000001g0270,Nitab4.5_0000001g0270,Nitab4.5_0000001g0270,Costars domain
1.882421017,4.74647E-05,0.000676718,Nitab4.5_0002335g0030,Nitab4.5_0002335g0030,Nitab4.5_0002335g0030,Cysteine-rich transmembrane CYSTM domain
1.882160664,0.001169462,0.006470114,Nitab4.5_0000125g0360,Nitab4.5_0000125g0360,Nitab4.5_0000125g0360,Unknown
1.882158399,0.031643252,0.089428443,Nitab4.5_0007738g0070,Nitab4.5_0007738g0070,Nitab4.5_0007738g0070,NADH:ubiquinone/plastoquinone oxidoreductase
1.879607677,0.00146154,0.007683904,Nitab4.5_0000207g0010,Nitab4.5_0000207g0010,Nitab4.5_0000207g0010,Cupredoxin
1.879524231,1.47666E-06,9.34508E-05,Nitab4.5_0002661g0130,Nitab4.5_0002661g0130,Nitab4.5_0002661g0130,Unknown
1.877577305,3.2501E-07,4.53664E-05,Nitab4.5_0000775g0140,Nitab4.5_0000775g0140,Nitab4.5_0000775g0140,Unknown
1.875172853,2.44456E-05,0.000451906,Nitab4.5_0001477g0010,Nitab4.5_0001477g0010,Nitab4.5_0001477g0010,Protein of unknown function DUF1005
1.869668484,1.53894E-06,9.55622E-05,Nitab4.5_0002345g0080,Nitab4.5_0002345g0080,Nitab4.5_0002345g0080,(2R)-phospho-3-sulpholactate synthase
1.868445873,3.67489E-06,0.000149005,Nitab4.5_0000812g0090,Nitab4.5_0000812g0090,Nitab4.5_0000812g0090,VQ
1.868014455,1.51891E-05,0.000340094,Nitab4.5_0000026g0280,Nitab4.5_0000026g0280,Nitab4.5_0000026g0280,ATPase
1.865024567,0.000226057,0.001940859,Nitab4.5_0000080g0250,Nitab4.5_0000080g0250,Nitab4.5_0000080g0250,Protein kinase domain
1.864110947,1.02321E-05,0.000271829,Nitab4.5_0000132g0530,Nitab4.5_0000132g0530,Nitab4.5_0000132g0530,UDP-glucuronosyl/UDP-glucosyltransferase
1.858719587,0.000213478,0.001868786,Nitab4.5_0000821g0050,Nitab4.5_0000821g0050,Nitab4.5_0000821g0050,Pyridoxal phosphate-dependent transferase
1.856240511,0.001356735,0.007269994,Nitab4.5_0001608g0070,Nitab4.5_0001608g0070,Nitab4.5_0001608g0070,Peptidase C1A
1.853718996,8.99905E-06,0.000253811,Nitab4.5_0000241g0150,Nitab4.5_0000241g0150,Nitab4.5_0000241g0150,Zinc finger
1.852894068,2.02588E-06,0.000110027,Nitab4.5_0000681g0020,Nitab4.5_0000681g0020,Nitab4.5_0000681g0020,PC-Esterase
1.852792025,0.000418271,0.003022697,Nitab4.5_0000863g0190,Nitab4.5_0000863g0190,Nitab4.5_0000863g0190,Peptidase C14
1.851484179,0.002316505,0.01093857,Nitab4.5_0000299g0180,Nitab4.5_0000299g0180,Nitab4.5_0000299g0180,Unknown
1.850944221,0.001101789,0.006200008,Nitab4.5_0000532g0070,Nitab4.5_0000532g0070,Nitab4.5_0000532g0070,Cytochrome P450
1.848852634,9.34884E-05,0.001057336,Nitab4.5_0000079g0240,Nitab4.5_0000079g0240,Nitab4.5_0000079g0240,Unknown
1.845439315,0.009918145,0.034449694,Nitab4.5_0001109g0060,Nitab4.5_0001109g0060,Nitab4.5_0001109g0060,Unknown
1.843061447,8.79601E-07,7.13816E-05,Nitab4.5_0000798g0120,Nitab4.5_0000798g0120,Nitab4.5_0000798g0120,Development/cell death domain
1.841824651,5.76664E-05,0.000770019,Nitab4.5_0003058g0050,Nitab4.5_0003058g0050,Nitab4.5_0003058g0050,Alpha/beta hydrolase fold-3
1.841339827,1.28202E-07,3.18983E-05,Nitab4.5_0000305g0190,Nitab4.5_0000305g0190,Nitab4.5_0000305g0190,Basic-leucine zipper domain
1.8408494,0.001363097,0.00729374,Nitab4.5_0000681g0130,Nitab4.5_0000681g0130,Nitab4.5_0000681g0130,Peptidase C1A
1.840572119,0.000128913,0.001316146,Nitab4.5_0000527g0250,Nitab4.5_0000527g0250,Nitab4.5_0000527g0250,Short-chain dehydrogenase/reductase
1.836180687,3.67141E-06,0.000149005,Nitab4.5_0001693g0100,Nitab4.5_0001693g0100,Nitab4.5_0001693g0100,Cytochrome P450
1.833437681,3.65481E-05,0.000571321,Nitab4.5_0000368g0110,Nitab4.5_0000368g0110,Nitab4.5_0000368g0110,Basic-leucine zipper domain
1.831542492,2.47541E-06,0.000122002,Nitab4.5_0000062g0280,Nitab4.5_0000062g0280,Nitab4.5_0000062g0280,VQ
1.830681026,0.006974623,0.026063296,Nitab4.5_0000187g0320,Nitab4.5_0000187g0320,Nitab4.5_0000187g0320,AP2/ERF domain
1.824987411,2.435E-08,1.69586E-05,Nitab4.5_0001526g0050,Nitab4.5_0001526g0050,Nitab4.5_0001526g0050,WD40 repeat
1.82316643,0.005345779,0.021057639,Nitab4.5_0000431g0130,Nitab4.5_0000431g0130,Nitab4.5_0000431g0130,Thioredoxin-like fold
1.821335793,1.29848E-06,8.68561E-05,Nitab4.5_0002820g0100,Nitab4.5_0002820g0100,Nitab4.5_0002820g0100,Late embryogenesis abundant protein
1.819220662,3.21209E-05,0.000526412,Nitab4.5_0000956g0090,Nitab4.5_0000956g0090,Nitab4.5_0000956g0090,Plant disease resistance response protein
1.814864874,0.000167368,0.001578929,Nitab4.5_0003603g0040,Nitab4.5_0003603g0040,Nitab4.5_0003603g0040,RlpA-like double-psi beta-barrel domain
1.813185096,8.51045E-05,0.000992067,Nitab4.5_0000437g0130,Nitab4.5_0000437g0130,Nitab4.5_0000437g0130,DNA-binding WRKY
1.808348894,3.15343E-07,4.46242E-05,Nitab4.5_0003110g0030,Nitab4.5_0003110g0030,Nitab4.5_0003110g0030,Unknown
1.804672241,0.000842728,0.005082843,Nitab4.5_0003242g0030,Nitab4.5_0003242g0030,Nitab4.5_0003242g0030,PAR1
1.804374099,1.77672E-05,0.00037178,Nitab4.5_0002877g0020,Nitab4.5_0002877g0020,Nitab4.5_0002877g0020,Protein kinase domain
1.801562071,1.96955E-05,0.000393457,Nitab4.5_0000563g0210,Nitab4.5_0000563g0210,Nitab4.5_0000563g0210,Prenylated rab acceptor PRA1
1.797979116,1.14684E-05,0.000287877,Nitab4.5_0000417g0150,Nitab4.5_0000417g0150,Nitab4.5_0000417g0150,Major facilitator superfamily domain
1.797102511,0.001492184,0.007802279,Nitab4.5_0000742g0180,Nitab4.5_0000742g0180,Nitab4.5_0000742g0180,Homeobox domain
1.796114445,2.22385E-06,0.000115759,Nitab4.5_0001397g0010,Nitab4.5_0001397g0010,Nitab4.5_0001397g0010,Unknown
1.795264244,3.60542E-07,4.67375E-05,Nitab4.5_0002873g0020,Nitab4.5_0002873g0020,Nitab4.5_0002873g0020,RNA recognition motif domain
1.79325366,5.12688E-05,0.000714367,Nitab4.5_0000718g0090,Nitab4.5_0000718g0090,Nitab4.5_0000718g0090,Transcription factor GRAS
1.791842818,3.97423E-05,0.000604809,Nitab4.5_0002267g0050,Nitab4.5_0002267g0050,Nitab4.5_0002267g0050,Armadillo-like helical
1.79068917,4.41707E-05,0.000645904,Nitab4.5_0000046g0160,Nitab4.5_0000046g0160,Nitab4.5_0000046g0160,Expansin
1.789984345,0.000686085,0.004352396,Nitab4.5_0000650g0100,Nitab4.5_0000650g0100,Nitab4.5_0000650g0100,Root cap
1.789548874,1.17431E-05,0.000292355,Nitab4.5_0002343g0050,Nitab4.5_0002343g0050,Nitab4.5_0002343g0050,Late embryogenesis abundant protein
1.778583765,0.001280848,0.00694996,Nitab4.5_0001040g0170,Nitab4.5_0001040g0170,Nitab4.5_0001040g0170,Unknown
1.767861843,3.05596E-07,4.42235E-05,Nitab4.5_0000611g0200,Nitab4.5_0000611g0200,Nitab4.5_0000611g0200,Unknown
1.765410662,3.87846E-06,0.000153407,Nitab4.5_0000842g0120,Nitab4.5_0000842g0120,Nitab4.5_0000842g0120,Myb domain
1.757750511,1.20902E-05,0.00029739,Nitab4.5_0002630g0010,Nitab4.5_0002630g0010,Nitab4.5_0002630g0010,Xyloglucan endo-transglycosylase
1.757386208,4.63811E-05,0.000666265,Nitab4.5_0000283g0350,Nitab4.5_0000283g0350,Nitab4.5_0000283g0350,Heavy metal-associated domain
1.755214214,7.65318E-06,0.000230954,Nitab4.5_0001864g0080,Nitab4.5_0001864g0080,Nitab4.5_0001864g0080,Thioredoxin-like fold
1.751848698,1.59344E-07,3.49414E-05,Nitab4.5_0000496g0200,Nitab4.5_0000496g0200,Nitab4.5_0000496g0200,GroES (chaperonin 10)-like
1.751494646,8.17083E-08,2.63836E-05,Nitab4.5_0000152g0170,Nitab4.5_0000152g0170,Nitab4.5_0000152g0170,Aldolase-type TIM barrel
1.750626683,2.95976E-05,0.000501564,Nitab4.5_0004567g0030,Nitab4.5_0004567g0030,Nitab4.5_0004567g0030,Protein of unknown function DUF247
1.74732089,0.004222237,0.017478977,Nitab4.5_0002931g0020,Nitab4.5_0002931g0020,Nitab4.5_0002931g0020,Unknown
1.738502502,1.85344E-05,0.000380534,Nitab4.5_0001566g0040,Nitab4.5_0001566g0040,Nitab4.5_0001566g0040,Unknown
1.73775208,0.000495675,0.003409349,Nitab4.5_0000319g0170,Nitab4.5_0000319g0170,Nitab4.5_0000319g0170,Ribosomal protein L12 family
1.737701088,4.47809E-05,0.000652036,Nitab4.5_0000116g0120,Nitab4.5_0000116g0120,Nitab4.5_0000116g0120,Unknown
1.736666918,1.1009E-05,0.000280309,Nitab4.5_0000824g0050,Nitab4.5_0000824g0050,Nitab4.5_0000824g0050,Uncharacterised protein family UPF0497
1.734298706,6.87663E-07,6.483E-05,Nitab4.5_0000650g0090,Nitab4.5_0000650g0090,Nitab4.5_0000650g0090,Glycoside hydrolase
1.732110262,0.000179597,0.001652188,Nitab4.5_0004300g0180,Nitab4.5_0004300g0180,Nitab4.5_0004300g0180,NAC domain
1.731452197,9.37713E-06,0.000258592,Nitab4.5_0001416g0040,Nitab4.5_0001416g0040,Nitab4.5_0001416g0040,Serine/threonine-protein kinase
1.729710788,1.08506E-05,0.000278603,Nitab4.5_0001711g0060,Nitab4.5_0001711g0060,Nitab4.5_0001711g0060,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
1.728213191,1.25576E-05,0.000302691,Nitab4.5_0000337g0030,Nitab4.5_0000337g0030,Nitab4.5_0000337g0030,SGNH hydrolase-type esterase domain
1.727751255,2.99125E-07,4.39034E-05,Nitab4.5_0003602g0040,Nitab4.5_0003602g0040,Nitab4.5_0003602g0040,Dyskerin-like
1.727234364,9.66566E-08,2.93672E-05,Nitab4.5_0000174g0040,Nitab4.5_0000174g0040,Nitab4.5_0000174g0040,Dehydrogenase
1.725235581,0.000282285,0.002269465,Nitab4.5_0002597g0010,Nitab4.5_0002597g0010,Nitab4.5_0002597g0010,Heavy metal-associated domain
1.724898577,4.59747E-05,0.000663181,Nitab4.5_0008782g0070,Nitab4.5_0008782g0070,Nitab4.5_0008782g0070,X8
1.720812321,2.84976E-06,0.000131798,Nitab4.5_0000723g0060,Nitab4.5_0000723g0060,Nitab4.5_0000723g0060,Glycoside hydrolase
1.719611406,2.79458E-06,0.000130435,Nitab4.5_0000900g0120,Nitab4.5_0000900g0120,Nitab4.5_0000900g0120,Protein kinase
1.71772778,0.000389967,0.002870723,Nitab4.5_0002933g0020,Nitab4.5_0002933g0020,Nitab4.5_0002933g0020,NAC domain
1.717533946,0.001733061,0.008740111,Nitab4.5_0000278g0020,Nitab4.5_0000278g0020,Nitab4.5_0000278g0020,Alpha crystallin/Hsp20 domain
1.716753721,1.33316E-05,0.000312971,Nitab4.5_0002486g0040,Nitab4.5_0002486g0040,Nitab4.5_0002486g0040,Expansin/pollen allergen
1.711771488,8.59442E-06,0.000247379,Nitab4.5_0002841g0040,Nitab4.5_0002841g0040,Nitab4.5_0002841g0040,Remorin
1.711569309,2.46456E-06,0.000121923,Nitab4.5_0001925g0060,Nitab4.5_0001925g0060,Nitab4.5_0001925g0060,Six-hairpin glycosidase-like
1.709994316,4.52158E-07,5.16405E-05,Nitab4.5_0000007g0030,Nitab4.5_0000007g0030,Nitab4.5_0000007g0030,Phox/Bem1p
1.709125996,1.81529E-05,0.000377281,Nitab4.5_0003466g0070,Nitab4.5_0003466g0070,Nitab4.5_0003466g0070,Late embryogenesis abundant protein
1.707318783,4.78996E-06,0.000174364,Nitab4.5_0000404g0110,Nitab4.5_0000404g0110,Nitab4.5_0000404g0110,Xyloglucan endotransglucosylase/hydrolase
1.706855059,2.021E-05,0.000400357,Nitab4.5_0000313g0020,Nitab4.5_0000313g0020,Nitab4.5_0000313g0020,NAC domain
1.702083588,6.08873E-07,6.1265E-05,Nitab4.5_0000844g0060,Nitab4.5_0000844g0060,Nitab4.5_0000844g0060,Leucine-rich repeat
1.701631069,0.000554299,0.003700537,Nitab4.5_0000743g0010,Nitab4.5_0000743g0010,Nitab4.5_0000743g0010,Protein kinase domain
1.70135951,2.25133E-06,0.000116111,Nitab4.5_0001271g0010,Nitab4.5_0001271g0010,Nitab4.5_0001271g0010,Chloramphenicol acetyltransferase-like domain
1.699430466,0.002541928,0.011761485,Nitab4.5_0000697g0230,Nitab4.5_0000697g0230,Nitab4.5_0000697g0230,Glycine rich protein
1.698200941,5.24687E-05,0.000725556,Nitab4.5_0000382g0090,Nitab4.5_0000382g0090,Nitab4.5_0000382g0090,Unknown
1.696578026,2.61704E-07,4.18714E-05,Nitab4.5_0000040g0410,Nitab4.5_0000040g0410,Nitab4.5_0000040g0410,Unknown
1.695272207,4.22498E-05,0.000630004,Nitab4.5_0000725g0120,Nitab4.5_0000725g0120,Nitab4.5_0000725g0120,UDP-glucuronosyl/UDP-glucosyltransferase
1.693838358,2.94509E-06,0.000134234,Nitab4.5_0002796g0040,Nitab4.5_0002796g0040,Nitab4.5_0002796g0040,Peptidase S10
1.693200588,4.5387E-08,2.20836E-05,Nitab4.5_0006486g0020,Nitab4.5_0006486g0020,Nitab4.5_0006486g0020,Peptidase C1A
1.690953493,9.01476E-07,7.29374E-05,Nitab4.5_0000203g0030,Nitab4.5_0000203g0030,Nitab4.5_0000203g0030,BURP domain
1.689686894,0.000105127,0.001141897,Nitab4.5_0000244g0350,Nitab4.5_0000244g0350,Nitab4.5_0000244g0350,Concanavalin A-like lectin/glucanase
1.689234495,0.032755155,0.092058108,Nitab4.5_0001311g0170,Nitab4.5_0001311g0170,Nitab4.5_0001311g0170,P-loop containing nucleoside triphosphate hydrolase
1.682983398,3.86047E-07,4.82817E-05,Nitab4.5_0001293g0040,Nitab4.5_0001293g0040,Nitab4.5_0001293g0040,Unknown
1.680873394,2.32808E-06,0.000118809,Nitab4.5_0000723g0150,Nitab4.5_0000723g0150,Nitab4.5_0000723g0150,Dehydrin
1.679736137,0.031869414,0.089981695,Nitab4.5_0001553g0070,Nitab4.5_0001553g0070,Nitab4.5_0001553g0070,Unknown
1.676958919,2.12708E-05,0.000412851,Nitab4.5_0000094g0070,Nitab4.5_0000094g0070,Nitab4.5_0000094g0070,DNA-binding WRKY
1.676879406,1.88876E-08,1.47736E-05,Nitab4.5_0000658g0020,Nitab4.5_0000658g0020,Nitab4.5_0000658g0020,Unknown
1.675004244,7.35482E-07,6.58012E-05,Nitab4.5_0001453g0070,Nitab4.5_0001453g0070,Nitab4.5_0001453g0070,Unknown
1.673176765,8.26948E-06,0.000242546,Nitab4.5_0001647g0070,Nitab4.5_0001647g0070,Nitab4.5_0001647g0070,Lipase
1.671899319,4.22095E-06,0.000160566,Nitab4.5_0004955g0020,Nitab4.5_0004955g0020,Nitab4.5_0004955g0020,Homeodomain-like
1.671076834,1.01526E-05,0.000270605,Nitab4.5_0002522g0100,Nitab4.5_0002522g0100,Nitab4.5_0002522g0100,Transporter
1.670610428,0.001218024,0.006674326,Nitab4.5_0000037g0180,Nitab4.5_0000037g0180,Nitab4.5_0000037g0180,Xyloglucan endotransglucosylase/hydrolase
1.670476794,5.70151E-05,0.000765062,Nitab4.5_0001000g0030,Nitab4.5_0001000g0030,Nitab4.5_0001000g0030,Oxidoreductase
1.668771029,2.52456E-05,0.000458201,Nitab4.5_0002541g0040,Nitab4.5_0002541g0040,Nitab4.5_0002541g0040,Chlorophyll A-B binding protein
1.668493986,7.20121E-07,6.55474E-05,Nitab4.5_0002027g0030,Nitab4.5_0002027g0030,Nitab4.5_0002027g0030,Cytochrome P450
1.666416645,0.000206788,0.001827088,Nitab4.5_0001748g0050,Nitab4.5_0001748g0050,Nitab4.5_0001748g0050,Voltage-dependent anion channel
1.666237831,1.15574E-05,0.000288988,Nitab4.5_0000571g0030,Nitab4.5_0000571g0030,Nitab4.5_0000571g0030,Ricin B lectin domain
1.663661718,3.94529E-05,0.000601882,Nitab4.5_0005046g0010,Nitab4.5_0005046g0010,Nitab4.5_0005046g0010,Protein of unknown function DUF1005
1.663489342,1.26148E-06,8.60008E-05,Nitab4.5_0000096g0190,Nitab4.5_0000096g0190,Nitab4.5_0000096g0190,Histone-fold
1.66214323,1.30451E-06,8.68786E-05,Nitab4.5_0000312g0090,Nitab4.5_0000312g0090,Nitab4.5_0000312g0090,Aspartic peptidase domain
1.661399364,2.22218E-05,0.000426354,Nitab4.5_0000717g0040,Nitab4.5_0000717g0040,Nitab4.5_0000717g0040,Aromatic-L-amino-acid decarboxylase
1.659574509,1.00039E-05,0.000268785,Nitab4.5_0002219g0010,Nitab4.5_0002219g0010,Nitab4.5_0002219g0010,Unknown
1.659541965,2.59118E-05,0.000463749,Nitab4.5_0000463g0020,Nitab4.5_0000463g0020,Nitab4.5_0000463g0020,Heat shock protein 70 family
