Log-ratio,p-value,minFDR,Glyma Wm82.a2.v1,Gene,Measure,Description
2.37639451,1.33352E-05,0.001015436,Glyma.09G246600,Glyma.09G246600,Glyma.09G246600.Wm82.a2.v1,BAK1-interacting receptor-like kinase 1
2.374023914,9.20852E-05,0.002835616,Glyma.16G214800,Glyma.16G214800,Glyma.16G214800.Wm82.a2.v1,Disease resistance protein (TIR-NBS-LRR class) family
2.373556912,0.000116095,0.003227257,Glyma.11G050900,Glyma.11G050900,Glyma.11G050900.Wm82.a2.v1,Protein phosphatase 2C family protein
2.373467654,8.68479E-07,0.00034123,Glyma.17G127900,Glyma.17G127900,Glyma.17G127900.Wm82.a2.v1,uncharacterized LOC100812834
2.372053087,0.000621753,0.009029683,Glyma.20G120100,Glyma.20G120100,Glyma.20G120100.Wm82.a2.v1,Protein kinase superfamily protein
2.371849775,6.18471E-06,0.000726051,Glyma.17G214900,Glyma.17G214900,Glyma.17G214900.Wm82.a2.v1,rust resistance kinase Lr10
2.370263577,5.49335E-08,0.00016239,Glyma.05G194100,Glyma.05G194100,Glyma.05G194100.Wm82.a2.v1,alpha/beta-Hydrolases superfamily protein
2.368263483,1.49878E-05,0.001074637,Glyma.06G047600,Glyma.06G047600,Glyma.06G047600.Wm82.a2.v1,Uncharacterised conserved protein UCP031279
2.367855549,5.55482E-07,0.000306827,Glyma.19G133800,Glyma.19G133800,Glyma.19G133800.Wm82.a2.v1,dehydration-induced protein (ERD15)
2.367838502,2.58779E-05,0.001410744,Glyma.17G106900,Glyma.17G106900,Glyma.17G106900.Wm82.a2.v1,uncharacterized LOC100775936
2.364887357,0.00016047,0.00391678,Glyma.03G181700,Glyma.03G181700,Glyma.03G181700.Wm82.a2.v1,PHE ammonia lyase 1
2.362613201,0.000575982,0.008599929,Glyma.10G151000,Glyma.10G151000,Glyma.10G151000.Wm82.a2.v1,Dormancy/auxin associated family protein
2.358429432,8.27479E-06,0.000810756,Glyma.15G256300,Glyma.15G256300,Glyma.15G256300.Wm82.a2.v1,uncharacterized LOC100306006
2.355106115,0.00998396,0.057259623,Glyma.08G151100,Glyma.08G151100,Glyma.08G151100.Wm82.a2.v1,protein QUIRKY-like
2.354359984,0.001298071,0.014451545,Glyma.14G171500,Glyma.14G171500,Glyma.14G171500.Wm82.a2.v1,related to AP2 4
2.353848219,6.08097E-05,0.002236795,Glyma.06G017600,Glyma.06G017600,Glyma.06G017600.Wm82.a2.v1,Protein kinase superfamily protein
2.35220933,0.000343577,0.006183506,Glyma.03G236300,Glyma.03G236300,Glyma.03G236300.Wm82.a2.v1,respiratory burst oxidase homolog B
2.340479136,0.01018568,0.058107315,Glyma.08G015700,Glyma.08G015700,Glyma.08G015700.Wm82.a2.v1,BTB/POZ domain with WD40/YVTN repeat-like protein
2.33771801,1.34915E-06,0.000396087,Glyma.12G063200,Glyma.12G063200,Glyma.12G063200.Wm82.a2.v1,ENTH/VHS family protein
2.332258224,0.000382591,0.006600895,Glyma.06G254900,Glyma.06G254900,Glyma.06G254900.Wm82.a2.v1,diacylglycerol kinase 5
2.328407437,0.004388846,0.032613165,Glyma.07G135400,Glyma.07G135400,Glyma.07G135400.Wm82.a2.v1,receptor lectin kinase
2.323611297,0.000183035,0.004219675,Glyma.08G062700,Glyma.08G062700,Glyma.08G062700.Wm82.a2.v1,BAK1-interacting receptor-like kinase 1
2.319803551,8.83411E-06,0.000837435,Glyma.17G028400,Glyma.17G028400,Glyma.17G028400.Wm82.a2.v1,TOXICOS EN LEVADURA 2
2.319059134,9.29552E-05,0.002856131,Glyma.15G093900,Glyma.15G093900,Glyma.15G093900.Wm82.a2.v1,gibberellin 2-oxidase
2.318159342,1.31641E-05,0.001012025,Glyma.13G330800,Glyma.13G330800,Glyma.13G330800.Wm82.a2.v1,chitinase 2
2.311983943,1.65969E-05,0.001117079,Glyma.05G072300,Glyma.05G072300,Glyma.05G072300.Wm82.a2.v1,peptidyl serine alpha-galactosyltransferase
2.308349073,0.001190289,0.013627895,Glyma.01G212800,Glyma.01G212800,Glyma.01G212800.Wm82.a2.v1,ACT domain repeat 8
2.305354834,0.003766569,0.029451557,Glyma.04G149300,Glyma.04G149300,Glyma.04G149300.Wm82.a2.v1,3-ketoacyl-CoA synthase 11
2.304394126,5.9666E-06,0.000720672,Glyma.02G098600,Glyma.02G098600,Glyma.02G098600.Wm82.a2.v1,Endosomal targeting BRO1-like domain-containing protein
2.304160118,3.16599E-07,0.000249352,Glyma.08G072200,Glyma.08G072200,Glyma.08G072200.Wm82.a2.v1,alternative oxidase 2
2.302776098,0.001294246,0.014429309,Glyma.20G156800,Glyma.20G156800,Glyma.20G156800.Wm82.a2.v1,heat shock transcription factor  B2A
2.301944762,1.74158E-05,0.00113595,Glyma.04G248700,Glyma.04G248700,Glyma.04G248700.Wm82.a2.v1,Eukaryotic aspartyl protease family protein
2.297744751,9.42196E-06,0.000858609,Glyma.17G104300,Glyma.17G104300,Glyma.17G104300.Wm82.a2.v1,uncharacterized LOC102666496
2.29425776,8.55064E-05,0.002717468,Glyma.18G214000,Glyma.18G214000,Glyma.18G214000.Wm82.a2.v1,Protein kinase superfamily protein
2.289313316,5.52734E-06,0.000699168,Glyma.13G033500,Glyma.13G033500,Glyma.13G033500.Wm82.a2.v1,Protein kinase superfamily protein
2.289073586,1.67805E-05,0.001117196,Glyma.15G088100,Glyma.15G088100,Glyma.15G088100.Wm82.a2.v1,MAC/Perforin domain-containing protein
2.287673235,2.43937E-06,0.000478014,Glyma.13G115400,Glyma.13G115400,Glyma.13G115400.Wm82.a2.v1,Plant invertase/pectin methylesterase inhibitor superfamily
2.286101222,7.97933E-06,0.000796261,Glyma.08G032800,Glyma.08G032800,Glyma.08G032800.Wm82.a2.v1,oxidative stress 3
2.286056012,0.002850559,0.024358878,Glyma.06G295400,Glyma.06G295400,Glyma.06G295400.Wm82.a2.v1,uncharacterized LOC100305963
2.28488946,1.27267E-05,0.000994778,Glyma.05G218500,Glyma.05G218500,Glyma.05G218500.Wm82.a2.v1,DCD (Development and Cell Death) domain protein
2.28190279,7.00669E-06,0.000763974,Glyma.13G111500,Glyma.13G111500,Glyma.13G111500.Wm82.a2.v1,inter-alpha-trypsin inhibitor heavy chain-related
2.277626455,0.000389561,0.006676166,Glyma.16G137600,Glyma.16G137600,Glyma.16G137600.Wm82.a2.v1,"disease resistance protein (TIR-NBS-LRR class), putative"
2.271258414,2.70359E-05,0.00144126,Glyma.05G139500,Glyma.05G139500,Glyma.05G139500.Wm82.a2.v1,Protein kinase superfamily protein
2.268961728,7.92103E-05,0.002601175,Glyma.15G271900,Glyma.15G271900,Glyma.15G271900.Wm82.a2.v1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
2.266666174,0.000125891,0.003390416,Glyma.16G042700,Glyma.16G042700,Glyma.16G042700.Wm82.a2.v1,atypical CYS  HIS rich thioredoxin 4
2.266439915,0.006559253,0.042849607,Glyma.15G150500,Glyma.15G150500,Glyma.15G150500.Wm82.a2.v1,TOXICOS EN LEVADURA 2
2.266435742,0.000158154,0.003896173,Glyma.06G024000,Glyma.06G024000,Glyma.06G024000.Wm82.a2.v1,Protein of unknown function (DUF668)
2.265494347,7.36296E-06,0.000777118,Glyma.09G088300,Glyma.09G088300,Glyma.09G088300.Wm82.a2.v1,SCP1-like small phosphatase 4
2.265353918,3.26896E-05,0.001611309,Glyma.11G224600,Glyma.11G224600,Glyma.11G224600.Wm82.a2.v1,subtilase 4.13
2.250698209,4.18105E-05,0.001833865,Glyma.14G135400,Glyma.14G135400,Glyma.14G135400.Wm82.a2.v1,WRKY DNA-binding protein 11
2.250562757,0.007664846,0.047782937,Glyma.10G234700,Glyma.10G234700,Glyma.10G234700.Wm82.a2.v1,"cytochrome P450, family 715, subfamily A, polypeptide 1"
2.248912096,1.75446E-05,0.001136729,Glyma.17G069300,Glyma.17G069300,Glyma.17G069300.Wm82.a2.v1,tetraspanin8
2.246467113,3.68965E-06,0.000602865,Glyma.13G037000,Glyma.13G037000,Glyma.13G037000.Wm82.a2.v1,uncharacterized LOC100819866
2.241143942,3.24792E-07,0.000249352,Glyma.16G153500,Glyma.16G153500,Glyma.16G153500.Wm82.a2.v1,uncharacterized LOC100526886
2.236763954,0.000271798,0.005357956,Glyma.17G237100,Glyma.17G237100,Glyma.17G237100.Wm82.a2.v1,Gibberellin-regulated family protein
2.236210167,0.000153183,0.003830869,Glyma.09G173300,Glyma.09G173300,Glyma.09G173300.Wm82.a2.v1,uncharacterized LOC112997783
2.233258948,0.007986082,0.04906678,Glyma.02G248100,Glyma.02G248100,Glyma.02G248100.Wm82.a2.v1,Calcium-dependent lipid-binding (CaLB domain) family protein
2.230919123,0.000260102,0.005241689,Glyma.16G045000,Glyma.16G045000,Glyma.16G045000.Wm82.a2.v1,xyloglucan endotransglucosylase/hydrolase 5
2.228154242,0.001184858,0.013598296,Glyma.11G097100,Glyma.11G097100,Glyma.11G097100.Wm82.a2.v1,uncharacterized LOC100817846
2.225173473,4.0961E-05,0.001809996,Glyma.19G011400,Glyma.19G011400,Glyma.19G011400.Wm82.a2.v1,HSP20-like chaperones superfamily protein
2.221065998,3.4706E-07,0.000253013,Glyma.16G030700,Glyma.16G030700,Glyma.16G030700.Wm82.a2.v1,
2.21804738,0.003914168,0.030195237,Glyma.02G035200,Glyma.02G035200,Glyma.02G035200.Wm82.a2.v1,Protein of unknown function (DUF1645)
2.217825502,0.000176448,0.004134124,Glyma.19G218100,Glyma.19G218100,Glyma.19G218100.Wm82.a2.v1,glycerol-3-phosphate acyltransferase 2
2.21757555,2.53863E-07,0.000225833,Glyma.17G044500,Glyma.17G044500,Glyma.17G044500.Wm82.a2.v1,Plant invertase/pectin methylesterase inhibitor superfamily
2.217171192,7.59883E-07,0.000327591,Glyma.15G120400,Glyma.15G120400,Glyma.15G120400.Wm82.a2.v1,Calcium-dependent lipid-binding (CaLB domain) family protein
2.217119455,0.000500146,0.007840973,Glyma.17G160200,Glyma.17G160200,Glyma.17G160200.Wm82.a2.v1,
2.211904168,1.99523E-06,0.000438513,Glyma.15G089300,Glyma.15G089300,Glyma.15G089300.Wm82.a2.v1,GDSL-like Lipase/Acylhydrolase superfamily protein
2.209648371,0.000294858,0.005645727,Glyma.04G203100,Glyma.04G203100,Glyma.04G203100.Wm82.a2.v1,
2.207623322,0.000358728,0.006334138,Glyma.04G238300,Glyma.04G238300,Glyma.04G238300.Wm82.a2.v1,WRKY DNA-binding protein 30
2.207564831,3.42869E-08,0.000128105,Glyma.15G261300,Glyma.15G261300,Glyma.15G261300.Wm82.a2.v1,"nuclear factor Y, subunit C2"
2.207411774,0.000871948,0.011249419,Glyma.18G118300,Glyma.18G118300,Glyma.18G118300.Wm82.a2.v1,
2.206332803,0.000122684,0.003340961,Glyma.13G275800,Glyma.13G275800,Glyma.13G275800.Wm82.a2.v1,early nodulin-like protein 1
2.205086708,0.006648778,0.043247923,Glyma.02G228300,Glyma.02G228300,Glyma.02G228300.Wm82.a2.v1,mitogen-activated protein kinase kinase kinase 14
2.20495224,3.06227E-07,0.000248727,Glyma.20G013600,Glyma.20G013600,Glyma.20G013600.Wm82.a2.v1,Chaperone DnaJ-domain superfamily protein
2.204804659,6.4381E-06,0.000727376,Glyma.14G199200,Glyma.14G199200,Glyma.14G199200.Wm82.a2.v1,exocyst subunit exo70 family protein B1
2.199739456,0.000148933,0.003766617,Glyma.09G189700,Glyma.09G189700,Glyma.09G189700.Wm82.a2.v1,arabinogalactan protein 22
2.198161006,5.65757E-05,0.002152565,Glyma.17G232900,Glyma.17G232900,Glyma.17G232900.Wm82.a2.v1,
2.194334269,1.61317E-06,0.000412608,Glyma.08G354800,Glyma.08G354800,Glyma.08G354800.Wm82.a2.v1,EamA-like transporter family
2.186359167,5.2783E-05,0.002077367,Glyma.20G094500,Glyma.20G094500,Glyma.20G094500.Wm82.a2.v1,galactinol synthase 1
2.186263084,0.000482321,0.007646729,Glyma.09G161900,Glyma.09G161900,Glyma.09G161900.Wm82.a2.v1,Endosomal targeting BRO1-like domain-containing protein
2.186033726,0.000267327,0.005316571,Glyma.18G046300,Glyma.18G046300,Glyma.18G046300.Wm82.a2.v1,cysteine-rich RLK (RECEPTOR-like protein kinase) 2
2.183628798,2.09099E-06,0.000448995,Glyma.16G042000,Glyma.16G042000,Glyma.16G042000.Wm82.a2.v1,NAD(P)-binding Rossmann-fold superfamily protein
2.181762874,0.002384314,0.021658963,Glyma.01G202200,Glyma.01G202200,Glyma.01G202200.Wm82.a2.v1,BON association protein 2
2.181425452,0.000164193,0.003957993,Glyma.13G361900,Glyma.13G361900,Glyma.13G361900.Wm82.a2.v1,pleiotropic drug resistance 12
2.180032492,6.03813E-06,0.000720672,Glyma.04G061400,Glyma.04G061400,Glyma.04G061400.Wm82.a2.v1,WRKY DNA-binding protein 40
2.177227259,2.87876E-05,0.001498026,Glyma.18G070100,Glyma.18G070100,Glyma.18G070100.Wm82.a2.v1,
2.176437855,0.001057407,0.01273068,Glyma.09G005700,Glyma.09G005700,Glyma.09G005700.Wm82.a2.v1,WRKY family transcription factor
2.174833417,8.45957E-06,0.000820256,Glyma.13G079800,Glyma.13G079800,Glyma.13G079800.Wm82.a2.v1,
2.174495459,9.50069E-05,0.00288282,Glyma.13G069200,Glyma.13G069200,Glyma.13G069200.Wm82.a2.v1,zinc finger (AN1-like) family protein
2.173636913,0.001716012,0.017394133,Glyma.13G259400,Glyma.13G259400,Glyma.13G259400.Wm82.a2.v1,Arabidopsis thaliana gibberellin 2-oxidase 1
2.173362017,0.002397041,0.021709721,Glyma.13G274100,Glyma.13G274100,Glyma.13G274100.Wm82.a2.v1,ethylene responsive element binding factor 4
2.173267365,0.002528062,0.022515528,Glyma.06G147100,Glyma.06G147100,Glyma.06G147100.Wm82.a2.v1,WRKY DNA-binding protein 51
2.172799468,0.000179719,0.004173323,Glyma.12G116800,Glyma.12G116800,Glyma.12G116800.Wm82.a2.v1,Protein phosphatase 2C family protein
2.168629885,0.005744599,0.039055033,Glyma.13G283600,Glyma.13G283600,Glyma.13G283600.Wm82.a2.v1,pinoid-binding protein 1
2.165515542,2.89904E-05,0.001502995,Glyma.11G178300,Glyma.11G178300,Glyma.11G178300.Wm82.a2.v1,calmodulin-binding receptor-like cytoplasmic kinase 1
2.16509831,4.22581E-05,0.001843046,Glyma.11G142600,Glyma.11G142600,Glyma.11G142600.Wm82.a2.v1,Domain of unknown function (DUF966)
2.161965653,0.001717601,0.017407089,Glyma.19G195800,Glyma.19G195800,Glyma.19G195800.Wm82.a2.v1,NAC domain containing protein 61
2.158600911,0.001392129,0.015131975,Glyma.11G017500,Glyma.11G017500,Glyma.11G017500.Wm82.a2.v1,
2.15525794,0.003830443,0.029767478,Glyma.07G191400,Glyma.07G191400,Glyma.07G191400.Wm82.a2.v1,
2.15156468,6.01736E-06,0.000720672,Glyma.12G026100,Glyma.12G026100,Glyma.12G026100.Wm82.a2.v1,
2.148091674,4.5938E-05,0.001930019,Glyma.13G360600,Glyma.13G360600,Glyma.13G360600.Wm82.a2.v1,Galactose oxidase/kelch repeat superfamily protein
2.138299853,0.003658138,0.028843088,Glyma.08G062800,Glyma.08G062800,Glyma.08G062800.Wm82.a2.v1,BAK1-interacting receptor-like kinase 1
2.135793686,2.83171E-06,0.000524548,Glyma.18G074100,Glyma.18G074100,Glyma.18G074100.Wm82.a2.v1,HEAT SHOCK PROTEIN 81.4
2.133152366,4.95662E-05,0.002015885,Glyma.03G123200,Glyma.03G123200,Glyma.03G123200.Wm82.a2.v1,Basic-leucine zipper (bZIP) transcription factor family protein
2.132473707,1.59019E-05,0.001110359,Glyma.14G212700,Glyma.14G212700,Glyma.14G212700.Wm82.a2.v1,Eukaryotic aspartyl protease family protein
2.130430639,9.54147E-07,0.000347769,Glyma.11G043000,Glyma.11G043000,Glyma.11G043000.Wm82.a2.v1,
2.128678322,0.001421346,0.015339474,Glyma.06G287000,Glyma.06G287000,Glyma.06G287000.Wm82.a2.v1,Thioredoxin superfamily protein
2.126209259,1.9961E-08,0.000108577,Glyma.03G232700,Glyma.03G232700,Glyma.03G232700.Wm82.a2.v1,Chaperone DnaJ-domain superfamily protein
2.125282466,1.19874E-05,0.00095701,Glyma.14G051800,Glyma.14G051800,Glyma.14G051800.Wm82.a2.v1,Calcium-binding EF-hand family protein
2.124600053,6.52842E-06,0.000730297,Glyma.14G074700,Glyma.14G074700,Glyma.14G074700.Wm82.a2.v1,Leucine-rich repeat protein kinase family protein
2.122652471,9.48991E-06,0.000861537,Glyma.17G089500,Glyma.17G089500,Glyma.17G089500.Wm82.a2.v1,Protein of unknown function (DUF1645)
2.121090889,0.000135624,0.003538373,Glyma.02G232600,Glyma.02G232600,Glyma.02G232600.Wm82.a2.v1,WRKY DNA-binding protein 33
2.120601416,4.01693E-05,0.001796684,Glyma.10G266900,Glyma.10G266900,Glyma.10G266900.Wm82.a2.v1,
2.11994195,0.000252782,0.00513412,Glyma.09G115800,Glyma.09G115800,Glyma.09G115800.Wm82.a2.v1,lipid phosphate phosphatase 2
2.119746327,0.00017461,0.004104797,Glyma.02G011500,Glyma.02G011500,Glyma.02G011500.Wm82.a2.v1,Plant invertase/pectin methylesterase inhibitor superfamily protein
2.116636436,3.55285E-05,0.001679569,Glyma.05G211400,Glyma.05G211400,Glyma.05G211400.Wm82.a2.v1,from the Czech \
2.116310567,0.000699253,0.009785585,Glyma.08G156600,Glyma.08G156600,Glyma.08G156600.Wm82.a2.v1,
2.11191538,0.001863697,0.018405652,Glyma.03G204900,Glyma.03G204900,Glyma.03G204900.Wm82.a2.v1,VQ motif-containing protein
2.111431599,1.4116E-07,0.000198663,Glyma.10G051100,Glyma.10G051100,Glyma.10G051100.Wm82.a2.v1,ubiquitin 4
2.108461142,1.45085E-05,0.001061537,Glyma.12G043500,Glyma.12G043500,Glyma.12G043500.Wm82.a2.v1,BTB/POZ domain-containing protein
2.108298302,5.68539E-09,9.06917E-05,Glyma.10G258800,Glyma.10G258800,Glyma.10G258800.Wm82.a2.v1,Leucine-rich repeat (LRR) family protein
2.105230093,3.75082E-05,0.001738717,Glyma.10G291900,Glyma.10G291900,Glyma.10G291900.Wm82.a2.v1,Ankyrin repeat family protein
2.104565263,0.006331116,0.04180267,Glyma.05G212300,Glyma.05G212300,Glyma.05G212300.Wm82.a2.v1,Protein of unknown function (DUF567)
2.103654265,2.90245E-05,0.001503371,Glyma.20G178800,Glyma.20G178800,Glyma.20G178800.Wm82.a2.v1,Seven transmembrane MLO family protein
2.10357213,0.00249169,0.022271816,Glyma.01G030300,Glyma.01G030300,Glyma.01G030300.Wm82.a2.v1,Protein of unknown function (DUF1645)
2.102613926,5.07613E-05,0.002040796,Glyma.07G153800,Glyma.07G153800,Glyma.07G153800.Wm82.a2.v1,ammonium transporter 2
2.100714326,2.76517E-06,0.000518738,Glyma.04G164100,Glyma.04G164100,Glyma.04G164100.Wm82.a2.v1,Leucine-rich repeat (LRR) family protein
2.095302582,0.000267204,0.005316571,Glyma.03G079200,Glyma.03G079200,Glyma.03G079200.Wm82.a2.v1,RING/U-box superfamily protein
2.092009425,0.000218553,0.004685773,Glyma.04G182600,Glyma.04G182600,Glyma.04G182600.Wm82.a2.v1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
2.091892242,0.00124035,0.014009098,Glyma.13G088100,Glyma.13G088100,Glyma.13G088100.Wm82.a2.v1,related to AP2 4
2.08991003,0.003014593,0.025379275,Glyma.18G116300,Glyma.18G116300,Glyma.18G116300.Wm82.a2.v1,polyamine oxidase 2
2.089651503,0.001106648,0.013046063,Glyma.18G271400,Glyma.18G271400,Glyma.18G271400.Wm82.a2.v1,Malectin/receptor-like protein kinase family protein
2.087038964,0.00013117,0.003470575,Glyma.17G067800,Glyma.17G067800,Glyma.17G067800.Wm82.a2.v1,trehalose phosphatase/synthase 11
2.086356223,0.000882912,0.011315331,Glyma.02G023900,Glyma.02G023900,Glyma.02G023900.Wm82.a2.v1,Disease resistance protein (TIR-NBS-LRR class) family
2.08611536,0.001965959,0.019118549,Glyma.02G023800,Glyma.02G023800,Glyma.02G023800.Wm82.a2.v1,Disease resistance protein (TIR-NBS-LRR class) family
2.085507661,2.58959E-05,0.001410744,Glyma.05G143400,Glyma.05G143400,Glyma.05G143400.Wm82.a2.v1,
2.083924204,0.000330329,0.006027887,Glyma.15G170500,Glyma.15G170500,Glyma.15G170500.Wm82.a2.v1,basic helix-loop-helix (bHLH) DNA-binding family protein
2.08178246,9.18096E-06,0.000848003,Glyma.18G064100,Glyma.18G064100,Glyma.18G064100.Wm82.a2.v1,calmodulin-binding receptor-like cytoplasmic kinase 1
2.080312729,0.001055016,0.012712815,Glyma.12G119200,Glyma.12G119200,Glyma.12G119200.Wm82.a2.v1,Thioredoxin superfamily protein
2.074222349,2.5301E-05,0.001395094,Glyma.14G199500,Glyma.14G199500,Glyma.14G199500.Wm82.a2.v1,exocyst subunit exo70 family protein B1
2.07311821,4.75264E-06,0.000649651,Glyma.07G094500,Glyma.07G094500,Glyma.07G094500.Wm82.a2.v1,
2.073101521,0.00094196,0.011865859,Glyma.14G212400,Glyma.14G212400,Glyma.14G212400.Wm82.a2.v1,
2.071624994,2.57952E-05,0.001410744,Glyma.09G061900,Glyma.09G061900,Glyma.09G061900.Wm82.a2.v1,WRKY DNA-binding protein 11
2.070747674,8.79413E-05,0.002758019,Glyma.15G168500,Glyma.15G168500,Glyma.15G168500.Wm82.a2.v1,NB-ARC domain-containing disease resistance protein
2.069475651,0.002554736,0.022647525,Glyma.11G129700,Glyma.11G129700,Glyma.11G129700.Wm82.a2.v1,beta glucosidase 13
2.068837881,7.60529E-05,0.002546182,Glyma.15G132800,Glyma.15G132800,Glyma.15G132800.Wm82.a2.v1,FAD-binding Berberine family protein
2.068321466,5.90468E-08,0.00016239,Glyma.20G036400,Glyma.20G036400,Glyma.20G036400.Wm82.a2.v1,RING/FYVE/PHD zinc finger superfamily protein
2.063838534,0.000434551,0.007174405,Glyma.08G010400,Glyma.08G010400,Glyma.08G010400.Wm82.a2.v1,SAUR-like auxin-responsive protein family
2.063801289,2.65075E-07,0.000228551,Glyma.09G134500,Glyma.09G134500,Glyma.09G134500.Wm82.a2.v1,Calcium-dependent lipid-binding (CaLB domain) family protein
2.063658237,1.9363E-07,0.000198663,Glyma.05G055100,Glyma.05G055100,Glyma.05G055100.Wm82.a2.v1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
2.061600946,5.43478E-05,0.002112254,Glyma.04G046800,Glyma.04G046800,Glyma.04G046800.Wm82.a2.v1,Uncharacterised conserved protein UCP031279
2.057837248,0.0001586,0.003899142,Glyma.12G170500,Glyma.12G170500,Glyma.12G170500.Wm82.a2.v1,potassium transport 2/3
2.054733276,6.84788E-07,0.000308139,Glyma.12G096500,Glyma.12G096500,Glyma.12G096500.Wm82.a2.v1,
2.054626703,0.000972444,0.012076149,Glyma.07G021300,Glyma.07G021300,Glyma.07G021300.Wm82.a2.v1,
2.052689388,0.005242038,0.036801302,Glyma.11G181200,Glyma.11G181200,Glyma.11G181200.Wm82.a2.v1,F-box family protein
2.051623464,2.60352E-06,0.000497992,Glyma.03G138600,Glyma.03G138600,Glyma.03G138600.Wm82.a2.v1,CCCH-type zinc finger protein with ARM repeat domain
2.050394714,0.000752601,0.010234633,Glyma.07G199800,Glyma.07G199800,Glyma.07G199800.Wm82.a2.v1,MAC/Perforin domain-containing protein
2.045184374,2.44448E-05,0.001367251,Glyma.18G170900,Glyma.18G170900,Glyma.18G170900.Wm82.a2.v1,PPPDE putative thiol peptidase family protein
2.043979645,9.62346E-06,0.000861537,Glyma.18G236000,Glyma.18G236000,Glyma.18G236000.Wm82.a2.v1,fringe-related protein
2.04299736,5.53879E-05,0.002137851,Glyma.08G153600,Glyma.08G153600,Glyma.08G153600.Wm82.a2.v1,
2.042539835,2.24827E-05,0.001317129,Glyma.10G143900,Glyma.10G143900,Glyma.10G143900.Wm82.a2.v1,Putative endonuclease or glycosyl hydrolase
2.041597396,0.000206091,0.004541948,Glyma.12G093700,Glyma.12G093700,Glyma.12G093700.Wm82.a2.v1,hydroxyproline-rich glycoprotein family protein
2.040989637,0.000160602,0.00391678,Glyma.18G247600,Glyma.18G247600,Glyma.18G247600.Wm82.a2.v1,Ankyrin repeat family protein
2.038269997,0.000711066,0.009883681,Glyma.18G271300,Glyma.18G271300,Glyma.18G271300.Wm82.a2.v1,Malectin/receptor-like protein kinase family protein
2.03715229,0.000100866,0.00298781,Glyma.19G159900,Glyma.19G159900,Glyma.19G159900.Wm82.a2.v1,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
2.03708005,4.44077E-06,0.000636671,Glyma.13G009100,Glyma.13G009100,Glyma.13G009100.Wm82.a2.v1,RING/U-box superfamily protein
2.036856949,0.002259748,0.020928819,Glyma.16G137000,Glyma.16G137000,Glyma.16G137000.Wm82.a2.v1,Disease resistance protein (TIR-NBS-LRR class) family
2.03350997,0.001573621,0.016395619,Glyma.11G077400,Glyma.11G077400,Glyma.11G077400.Wm82.a2.v1,Chaperone DnaJ-domain superfamily protein
2.03230381,1.52826E-05,0.001085064,Glyma.12G064000,Glyma.12G064000,Glyma.12G064000.Wm82.a2.v1,heat shock protein 70
2.031285897,0.002734744,0.023721712,Glyma.01G216600,Glyma.01G216600,Glyma.01G216600.Wm82.a2.v1,MATE efflux family protein
2.022031784,1.99491E-07,0.000198663,Glyma.15G251500,Glyma.15G251500,Glyma.15G251500.Wm82.a2.v1,glutathione S-transferase TAU 19
2.019930482,0.00101838,0.012437747,Glyma.08G110900,Glyma.08G110900,Glyma.08G110900.Wm82.a2.v1,Chalcone and stilbene synthase family protein
2.017193913,4.55442E-05,0.001919879,Glyma.12G229000,Glyma.12G229000,Glyma.12G229000.Wm82.a2.v1,cytochrome BC1 synthesis
2.011365712,2.27838E-06,0.000459314,Glyma.09G051400,Glyma.09G051400,Glyma.09G051400.Wm82.a2.v1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
2.009478807,2.55524E-06,0.000490431,Glyma.03G187700,Glyma.03G187700,Glyma.03G187700.Wm82.a2.v1,UDP-glucosyl transferase 73C2
2.00667572,2.73196E-05,0.001445799,Glyma.02G250200,Glyma.02G250200,Glyma.02G250200.Wm82.a2.v1,protein phosphatase 2CA
2.005292535,3.85928E-06,0.000611344,Glyma.11G190900,Glyma.11G190900,Glyma.11G190900.Wm82.a2.v1,Argonaute family protein
2.004751682,0.00073932,0.010113363,Glyma.20G133200,Glyma.20G133200,Glyma.20G133200.Wm82.a2.v1,salt tolerance zinc finger
2.004542291,6.69512E-05,0.002367731,Glyma.03G249000,Glyma.03G249000,Glyma.03G249000.Wm82.a2.v1,SSXT family protein
2.004419088,0.000155229,0.003864112,Glyma.15G164800,Glyma.15G164800,Glyma.15G164800.Wm82.a2.v1,
2.001633167,2.4441E-05,0.001367251,Glyma.17G021000,Glyma.17G021000,Glyma.17G021000.Wm82.a2.v1,
2.000965506,0.001648414,0.016913895,Glyma.16G137300,Glyma.16G137300,Glyma.16G137300.Wm82.a2.v1,"disease resistance protein (TIR-NBS-LRR class), putative"
1.999587614,1.46475E-05,0.001066111,Glyma.16G172900,Glyma.16G172900,Glyma.16G172900.Wm82.a2.v1,
1.996155739,0.000115879,0.003226201,Glyma.20G200000,Glyma.20G200000,Glyma.20G200000.Wm82.a2.v1,
1.995602369,0.003969929,0.030515949,Glyma.01G069000,Glyma.01G069000,Glyma.01G069000.Wm82.a2.v1,
1.99525601,0.000474293,0.007588146,Glyma.19G198800,Glyma.19G198800,Glyma.19G198800.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
